iata,name,location,country
VST,Stockholm-Västerås Airport,Stockholm,Sweden
YAR,La Grande-3 Airport,Northern Quebec,Canada
YPH,Inukjuak Airport,"Inukjuak, Quebec",Canada
ZMD,Sena Madureira Airport,"Sena Madureira, Acre",Brazil
ACV,Arcata-Eureka Airport,"McKinleyville, California",United States
APL,Nampula Airport,Nampula,Mozambique
BCK,Bolwarra Airport,"Bolwarra, Queensland",Australia
BMU,Bima Airport (aka Sultan Muhammad Salahuddin Airport),Bima,Indonesia
BYM,Carlos Manuel de Céspedes Airport,Bayamo,Cuba
CKH,Chokurdah Airport,Chokurdakh,Russia
CWB,Afonso Pena International Airport,"Curitiba, Paraná",Brazil
DQH,Alpine Airstrip,"Deadhorse, Alaska",United States
ERF,Erfurt Airport,Erfurt,Germany
FSM,Fort Smith Regional Airport,"Fort Smith, Arkansas",United States
GPO,General Pico Airport,"General Pico, La Pampa",Argentina
HKY,Hickory Regional Airport,"Hickory, North Carolina",United States
IKK,Greater Kankakee Airport,"Kankakee, Illinois",United States
JHG,Xishuangbanna Gasa Airport,"Jinghong, Xishuangbanna, Yunnan",China
KFS,Kastamonu Airport,Kastamonu,Turkey
KSM,St. Mary's Airport,"St.Mary's, Alaska",United States
LGM,Laiagam Airport,Laiagam,Papua New Guinea
LUP,Kalaupapa Airport,"Kalaupapa, Hawaii",United States
MHN,Hooker County Airport,"Mullen, Nebraska",United States
MSU,Moshoeshoe International Airport,Maseru,Lesotho
NLG,Nelson Lagoon Airport,"Nelson Lagoon, Alaska",United States
OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso
PRQ,Termal Airport (Pres.Roque Saenz Pena Airport),"Presidencia Roque Sáenz Peña, Chaco",Argentina
RLD,Richland Airport,"Richland, Washington",United States
SJW,Shijiazhuang Zhengding International Airport,Shijiazhuang,China
SZZ,Szczecin-Goleniów Solidarnosc Airport,Goleniów,Poland
TUY,Tulum Airport,"Tulum, Quintana Roo",Mexico
VTA,Victoria Airport,Victoria,Honduras
YAS,Yasawa Island Airport,Yasawa Island,Fiji
YPI,Port Simpson Airport,"Port Simpson, British Columbia",Canada
ZMH,South Cariboo Regional Airport,"108 Mile Ranch, British Columbia",Canada
ACY,Atlantic City International Airport,"Atlantic City, New Jersey",United States
APN,Alpena County Regional Airport,"Alpena, Michigan",United States
BCL,Barra del Colorado Airport,Barra del Colorado,Costa Rica
BMV,Phung-Duc Airport,Buon Me Thuot,Vietnam
BYN,Bayankhongor Airport,Bayankhongor,Mongolia
CKI,Croker Island Airport,"Croker Island, Northern Territory",Australia
CWC,Chernovtsy Airport,Chernivtsi,Ukraine
DRA,Desert Rock Airport,"Mercury, Nevada",United States
ERG,Erbogachen Airport,"Yerbogachen, Katangsky District, Irkutsk Oblast",Russia
FSP,Saint Pierre Airport,"Saint-Pierre, Saint Pierre and Miquelon",France
GPS,Seymour Airport,"Baltra Island, Galápagos Islands",Ecuador
HLA,Lanseria Airport,Lanseria,South Africa
IKL,Ikela Airport,Ikela,Democratic Republic of the Congo
JHM,Kapalua Airport,"Lahaina, Hawaii",United States
KGA,Kananga Airport,Kananga,Democratic Republic of the Congo
KSN,Kostanay Airport (Narimanovka Airport),Kostanay,Kazakhstan
LGN,Linga Linga Airport,Linga Linga,Papua New Guinea
LUQ,San Luis Airport,San Luis,Argentina
MHO,Mount House Airport,"Mount House, Western Australia",Australia
MSV,Sullivan County International Airport,"Monticello, New York",United States
NLI,Nikolayevsk- ON -Amur Airport,"Nikolayevsk - ON - Amur, Khabarovsk Krai",Russia
OUD,Angads Airport,Oujda,Morocco
PRR,Paruima Airport,Paruima,Guyana
RLG,Rostock Laage Airport,Rostock,Germany
SJX,Sartaneja Airport,Sarteneja,Belize
TAB,Crown Point International Airport,"Scarborough, Tobago",Trinidad and Tobago
TVC,Cherry Capital Airport,"Traverse City, Michigan",United States
VTE,Wattay International Airport,Vientiane,Laos
YAT,Attawapiskat Airport,"Attawapiskat, Ontario",Canada
YPJ,Aupaluk Airport,"Aupaluk, Quebec",Canada
ZMM,Zamora Airport,"Zamora, Michoacán",Mexico
ACZ,Zabol Airport,Zabol,Iran
APO,Antonio Roldán Betancourt Airport,Apartadó,Colombia
BCM,Bac?u International Airport,Bac?u,Romania
BMW,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria
BYP,Barimunya Airport,"Barimunya, Western Australia",Australia
CKL,Chkalovsky Airport,Shchyolkovo (Moscow Oblast),Russia
CWF,Chennault International Airport,"Lake Charles, Louisiana",United States
DRB,Derby Airport,"Derby, Western Australia",Australia
ERH,Moulay Ali Cherif Airport,Er-Rachidia (Errachidia),Morocco
FSS,RAF Kinloss,"Forres, Scotland",United Kingdom
GPT,Gulfport-Biloxi International Airport,"Gulfport, Mississippi",United States
HLB,Hillenbrand Industries Airport,"Batesville, Indiana",United States
IKO,Nikolski Air Station,"Nikolski, Alaska",United States
